timestamp,source_ip,destination_ip,protocol,packet_size,duration,flow_bytes_per_sec,packet_count,traffic_type
2023-01-01 00:00:00,192.168.1.0,192.168.2.0,TCP,601,4.147011752419493,62513.105228099426,125,normal
2023-01-01 00:01:00,192.168.1.1,192.168.2.1,UDP,1058,1.562034711850964,56359.29587610332,121,file_transfer
2023-01-01 00:02:00,192.168.1.2,192.168.2.2,TCP,1268,4.215741106895112,63195.57293586485,160,normal
2023-01-01 00:03:00,192.168.1.3,192.168.2.3,TCP,1324,3.8868316220823425,53734.912789393944,54,video_stream
2023-01-01 00:04:00,192.168.1.4,192.168.2.4,TCP,1028,1.2272630468540264,63873.82148506216,154,normal
2023-01-01 00:05:00,192.168.1.5,192.168.2.5,UDP,560,0.7435421194059525,45534.37858928336,113,video_stream
2023-01-01 00:06:00,192.168.1.6,192.168.2.6,TCP,831,4.353466180408235,22625.875105447405,94,normal
2023-01-01 00:07:00,192.168.1.7,192.168.2.7,TCP,851,4.819859601856646,12904.475424655888,143,normal
2023-01-01 00:08:00,192.168.1.8,192.168.2.8,TCP,1024,0.25338133736282964,7765.752617693779,117,normal
2023-01-01 00:09:00,192.168.1.9,192.168.2.9,UDP,1008,3.6832233281710596,27068.262591566807,27,normal
2023-01-01 00:10:00,192.168.1.10,192.168.2.10,TCP,1376,4.5566701036443105,5566.2328692376495,103,DDoS_attack
2023-01-01 00:11:00,192.168.1.11,192.168.2.11,TCP,489,4.301064451253243,57149.90721201917,159,DDoS_attack
2023-01-01 00:12:00,192.168.1.12,192.168.2.12,TCP,982,4.826150314124022,29099.016255328508,42,normal
2023-01-01 00:13:00,192.168.1.13,192.168.2.13,TCP,355,3.8244609843466764,82628.94600061618,167,file_transfer
2023-01-01 00:14:00,192.168.1.14,192.168.2.14,UDP,808,2.2672639356664606,8349.846425850257,135,normal
2023-01-01 00:15:00,192.168.1.15,192.168.2.15,TCP,549,1.6285647534261394,23408.797939807107,169,video_stream
2023-01-01 00:16:00,192.168.1.16,192.168.2.16,UDP,109,1.6716394281468248,73294.36856192445,179,file_transfer
2023-01-01 00:17:00,192.168.1.17,192.168.2.17,UDP,923,3.6496710958091736,60282.02134196565,131,DDoS_attack
2023-01-01 00:18:00,192.168.1.18,192.168.2.18,UDP,897,3.7546013589517253,7384.635853667586,147,normal
2023-01-01 00:19:00,192.168.1.19,192.168.2.19,TCP,1365,1.0817598033886922,87846.70625905784,124,file_transfer
2023-01-01 00:20:00,192.168.1.20,192.168.2.20,UDP,1374,4.353801786103602,87848.91451979177,173,normal
2023-01-01 00:21:00,192.168.1.21,192.168.2.21,TCP,976,3.603127796991014,33710.39238370161,171,DDoS_attack
2023-01-01 00:22:00,192.168.1.22,192.168.2.22,UDP,1128,2.8574764030825754,34700.17849160691,37,normal
2023-01-01 00:23:00,192.168.1.23,192.168.2.23,UDP,1242,2.4105090545023127,98913.80747666722,20,video_stream
2023-01-01 00:24:00,192.168.1.24,192.168.2.24,UDP,1115,2.761840748370795,62991.440987720685,176,video_stream
